CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926051910.205093+120 , C:\Program Files\Git\cmd\git.exe,2292 , 2116 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926051911.868546+120 , C:\Program Files\Git\mingw64\bin\git.exe,1912 , 1876 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926051911.698312+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1912 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051911.717458+120 , C:\Windows\system32\conhost.exe,1912 , 6164 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926051914.545387+120 , None,3412 , 6580 , (None, 2, None) , N/A
git.exe status -z -uall , 20240926051918.341515+120 , C:\Program Files\Git\mingw64\bin\git.exe,7720 , 2516 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051918.239799+120 , C:\Windows\system32\conhost.exe,7720 , 7628 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926051924.860438+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7676 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20240926051952.694361+120 , C:\Windows\system32\DllHost.exe,764 , 580 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926052003.662157+120 , None,1620 , 3012 , (None, 2, None) , N/A
None , 20240926052007.568322+120 , None,396 , 388 , (None, 2, None) , N/A
None , 20240926052009.649294+120 , None,764 , 6272 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926052018.650635+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5252 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926052019.660107+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5728 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052019.674747+120 , C:\Windows\system32\conhost.exe,5728 , 6912 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
